ward,number_of_household,total_population,total_population_males,total_population_females,person_aged_0_6,literate_population,literate_population_males,literate_population_females,iletrate_population,iletrate_population_males,iletrate_population_females,total_worker_population,total_worker_population_males,total_worker_population_females,non_working_population,non_working_population_males,non_working_population_females,literacy_rate,Region,lat,long,postal_code,Unnamed: 23,localities
12,1700,8379,4045,4334,299,7854,3788,4066,525,257,268,2995,2110,885,5384,1935,3449,97.2,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Mridha Market SBI CSP Hatiara Rajarhat,EuroKids Pre-School Kolkata-Gouranganagar (Newtown) Sulanggari Hatiara Rajarhat"
13,1802,7755,3787,3968,423,7069,3494,3575,686,293,393,3095,2076,1019,4660,1711,2949,96.41,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Bikash Health Care Homoeopathic Clinic Hatiara Rajarhat"
14,1720,7526,3622,3904,274,7038,3409,3629,488,213,275,2825,1931,894,4701,1691,3010,97.05,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Bakul Bithi Shishu Niketan School Sulanggari Hatiara"
15,1602,5784,2877,2907,317,5256,2640,2616,528,237,291,2109,1309,800,3675,1568,2107,96.14,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat, Pepe Jeans, New Town Action Area 2 Rajarhat,Biswa Bangla Haat New Town Action Area 2 New Town"
16,2839,12417,6235,6182,800,10131,5153,4978,2286,1082,1204,4801,3315,1486,7616,2920,4696,87.21,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Max New Town Action Area 2 Rajarhat"
17,3175,13271,6660,6611,1494,8761,4814,3947,4510,1846,2664,4961,3907,1054,8310,2753,5557,74.39,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Action Area 2 New Town,Action Area IIC New Town"
18,2778,12243,6195,6048,1063,8253,4446,3807,3990,1749,2241,4928,3583,1345,7315,2612,4703,73.82,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Action Area 3 New Town"
19,1836,7138,3712,3426,585,5696,3096,2600,1442,616,826,2871,2187,684,4267,1525,2742,86.92,Bidhannagar,22.60757578,88.44083103,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat Gopalpur Gram Rajarhat"
2,1249,5329,2720,2609,310,4753,2458,2295,576,262,314,1912,1387,525,3417,1333,2084,94.7,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town,Action Area IIB New Town,New Town Kids Clinic New Town Action Area 1 New Town"
20,2253,12510,6544,5966,453,11488,6066,5422,1022,478,544,3942,3211,731,8568,3333,5235,95.28,Bidhannagar,22.59537151,88.43677662,700102,,"Bandhan Bank Gauranganagar Keshtopur,BUDS N PETALS Montessori Preschool & Play School Prafulla kanan Kestopur Prafulla Kanan Keshtopur,Dr. ABHISHEK GHOSH 14+ yrs of Exp | Best General Physician Near Kolkata | Fever & Diabetes Doctor Gauranganagar Keshtopur,Krishnapur Keshtopur"
21,1962,9382,4716,4666,416,8689,4448,4241,693,268,425,3793,2765,1028,5589,1951,3638,96.91,Bidhannagar,22.59537151,88.43677662,700102,,"Bandhan Bank Gauranganagar Keshtopur,BUDS N PETALS Montessori Preschool & Play School Prafulla kanan Kestopur Prafulla Kanan Keshtopur,Dr. ABHISHEK GHOSH 14+ yrs of Exp | Best General Physician Near Kolkata | Fever & Diabetes Doctor Gauranganagar Keshtopur,Krishnapur Keshtopur,Ghosh Para Keshtopur"
22,2446,10628,5141,5487,553,9268,4596,4672,1360,545,815,4097,2716,1381,6531,2425,4106,91.99,Bidhannagar,22.59537151,88.43677662,700102,,"Bandhan Bank Gauranganagar Keshtopur,BUDS N PETALS Montessori Preschool & Play School Prafulla kanan Kestopur Prafulla Kanan Keshtopur,Dr. ABHISHEK GHOSH 14+ yrs of Exp | Best General Physician Near Kolkata | Fever & Diabetes Doctor Gauranganagar Keshtopur,Krishnapur Keshtopur,Saint Francis Children Park Tarulia"
23,3429,13509,7132,6377,1507,8833,5259,3574,4676,1873,2803,6814,4472,2342,6695,2660,4035,73.6,Bidhannagar,22.59537151,88.43677662,700102,,"Bandhan Bank Gauranganagar Keshtopur,BUDS N PETALS Montessori Preschool & Play School Prafulla kanan Kestopur Prafulla Kanan Keshtopur,Dr. ABHISHEK GHOSH 14+ yrs of Exp | Best General Physician Near Kolkata | Fever & Diabetes Doctor Gauranganagar Keshtopur,Krishnapur Keshtopur,The City Tarulia Sporting Club"
24,2080,9030,4522,4508,570,7334,3857,3477,1696,665,1031,3526,2565,961,5504,1957,3547,86.69,Bidhannagar,22.59537151,88.43677662,700102,,"Bandhan Bank Gauranganagar Keshtopur,BUDS N PETALS Montessori Preschool & Play School Prafulla kanan Kestopur Prafulla Kanan Keshtopur,Dr. ABHISHEK GHOSH 14+ yrs of Exp | Best General Physician Near Kolkata | Fever & Diabetes Doctor Gauranganagar Keshtopur,Krishnapur Keshtopur,UCO Bank Krishnapur Keshtopur"
25,1115,4681,2283,2398,247,4156,2055,2101,525,228,297,1645,1243,402,3036,1040,1996,93.73,Bidhannagar,22.59537151,88.43677662,700102,,"Bandhan Bank Gauranganagar Keshtopur,BUDS N PETALS Montessori Preschool & Play School Prafulla kanan Kestopur Prafulla Kanan Keshtopur,Dr. ABHISHEK GHOSH 14+ yrs of Exp | Best General Physician Near Kolkata | Fever & Diabetes Doctor Gauranganagar Keshtopur,Krishnapur Keshtopur,Gabbar cafe Samarpally Krishnapur Keshtopur"
3,1996,9077,4513,4564,506,8302,4164,4138,775,349,426,3442,2395,1047,5635,2118,3517,96.86,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town,Action Area 1A New Town,United Bank of India - New Town Branch New Town Action Area 1 New Town"
4,1235,5951,2996,2955,319,5281,2675,2606,670,321,349,2178,1539,639,3773,1457,2316,93.77,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town,Action Area 1B New Town,Action Area IID Rajarhat,More Supermarket - Rajarhat"
5,2087,8908,4632,4276,569,7794,4040,3754,1114,592,522,3380,2686,694,5528,1946,3582,93.46,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town,Rajarhat Sukanta Pally"
6,1325,6706,3329,3377,404,5632,2803,2829,1074,526,548,2645,1899,746,4061,1430,2631,89.37,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town,rajarhat Bazar Rajarhat Chowmatha Rajarhat"
7,1210,5812,2855,2957,236,5372,2669,2703,440,186,254,2106,1511,595,3706,1344,2362,96.34,Bidhannagar,22.63306186,88.45322424,700136,,"New Town,Newtown Heart Sugar Clinic and Fertility Centre New Town Action Area 1 New Town,Rajarhat,Narayanpur Rajarhat,New Town Action Area 2 New Town,Action Area 1 New Town,RAJARHAT DISHA REHABILITATION CENTRE, Rajarhat"
8,813,3654,1838,1816,162,3263,1660,1603,391,178,213,1389,962,427,2265,876,1389,93.44,Bidhannagar,22.63306186,88.45322424,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Action Area IIB New Town"
9,1449,6434,3232,3202,337,5792,2929,2863,642,303,339,2619,1827,792,3815,1405,2410,95,Bidhannagar,22.63306186,88.45322424,700059,,"Hatiara Rajarhat,rajarhat,Baguiati,baguiati market and residential complex,Desh Bandhu Nagar Baguiati,Jyangra Baguiati,Hatiara Extention Rajarhat,Action Area IID Rajarhat,Indra Gopal High School Hatiara Extention Hatiara"
